Rk,Year,Date,G#,Week,Age,Team,Opp,Result,Cmp,Att,Cmp%,Pass_Yds,Pass_TD,Int,Passer_rating,Sk,Yds,Y/A,AY/A
1,2016,9/11/2016,1,1,23.044,DAL,NYG,L 19-20,25,45,55.56,227,0,0,69.4,0,0,5.04,5.04
2,2016,9/18/2016,2,2,23.051,DAL,WAS,W 27-23,22,30,73.33,292,0,0,103.7,4,14,9.73,9.73
3,2016,9/25/2016,3,3,23.058,DAL,CHI,W 31-17,19,24,79.17,248,1,0,123.6,0,0,10.33,11.17
4,2016,10/2/2016,4,4,23.065,DAL,SFO,W 24-17,23,32,71.88,245,2,0,114.7,2,11,7.66,8.91
5,2016,10/9/2016,5,5,23.072,DAL,CIN,W 28-14,18,24,75,227,1,0,117.9,1,5,9.46,10.29
6,2016,10/16/2016,6,6,23.079,DAL,GNB,W 30-16,18,27,66.67,247,3,1,117.4,2,14,9.15,9.7
7,2016,10/30/2016,7,8,23.093,DAL,PHI,W 29-23,19,39,48.72,287,2,1,79.8,2,14,7.36,7.23
8,2016,11/6/2016,8,9,23.1,DAL,CLE,W 35-10,21,27,77.78,247,3,0,141.8,0,0,9.15,11.37
9,2016,11/13/2016,9,10,23.107,DAL,PIT,W 35-30,22,32,68.75,319,2,0,121.7,2,24,9.97,11.22
10,2016,11/20/2016,10,11,23.114,DAL,BAL,W 27-17,27,36,75,301,3,0,127.2,1,2,8.36,10.03
11,2016,11/24/2016,11,12,23.118,DAL,WAS,W 31-26,17,24,70.83,195,1,0,108.9,1,5,8.13,8.96
12,2016,12/1/2016,12,13,23.125,DAL,MIN,W 17-15,12,18,66.67,139,1,0,108.3,3,15,7.72,8.83
13,2016,12/11/2016,13,14,23.135,DAL,NYG,L 7-10,17,37,45.95,165,1,2,45.4,3,13,4.46,2.57
14,2016,12/18/2016,14,15,23.142,DAL,TAM,W 26-20,32,36,88.89,279,0,0,99,3,15,7.75,7.75
15,2016,12/26/2016,15,16,23.15,DAL,DET,W 42-21,15,20,75,212,3,0,148.3,1,11,10.6,13.6
16,2016,1/1/2017,16,17,23.156,DAL,PHI,L 13-27,4,8,50,37,0,0,63,0,0,4.63,4.63
17,2017,9/10/2017,1,1,24.043,DAL,NYG,W 19-3,24,39,61.54,268,1,0,90.5,1,5,6.87,7.38
18,2017,9/17/2017,2,2,24.05,DAL,DEN,L 17-42,30,50,60,238,2,2,68.6,2,10,4.76,3.76
19,2017,9/25/2017,3,3,24.058,DAL,ARI,W 28-17,13,18,72.22,183,2,0,141.7,1,9,10.17,12.39
20,2017,10/1/2017,4,4,24.064,DAL,LAR,L 30-35,20,36,55.56,252,3,1,93.8,2,1,7,7.42
21,2017,10/8/2017,5,5,24.071,DAL,GNB,L 31-35,25,36,69.44,251,3,1,105.2,1,6,6.97,7.39
22,2017,10/22/2017,6,7,24.085,DAL,SFO,W 40-10,16,25,64,234,3,0,134,0,0,9.36,11.76
23,2017,10/29/2017,7,8,24.092,DAL,WAS,W 33-19,14,22,63.64,143,0,0,82.2,2,5,6.5,6.5
24,2017,11/5/2017,8,9,24.099,DAL,KAN,W 28-17,21,33,63.64,249,2,0,106.8,1,5,7.55,8.76
25,2017,11/12/2017,9,10,24.106,DAL,ATL,L 7-27,20,30,66.67,176,0,0,82.1,8,50,5.87,5.87
26,2017,11/19/2017,10,11,24.113,DAL,PHI,L 9-37,18,31,58.06,145,0,3,30.4,4,32,4.68,0.32
27,2017,11/23/2017,11,12,24.117,DAL,LAC,L 6-28,20,27,74.07,179,0,2,60.6,2,11,6.63,3.3
28,2017,11/30/2017,12,13,24.124,DAL,WAS,W 38-14,11,22,50,102,2,0,93.4,1,9,4.64,6.45
29,2017,12/10/2017,13,14,24.134,DAL,NYG,W 30-10,20,30,66.67,332,3,0,137.1,0,0,11.07,13.07
30,2017,12/17/2017,14,15,24.141,DAL,OAK,W 20-17,18,27,66.67,212,0,2,59.5,2,8,7.85,4.52
31,2017,12/24/2017,15,16,24.148,DAL,SEA,L 12-21,21,34,61.76,181,0,2,51.2,4,27,5.32,2.68
32,2017,12/31/2017,16,17,24.155,DAL,PHI,W 6-0,17,30,56.67,179,1,0,85.3,1,7,5.97,6.63
33,2018,9/9/2018,1,1,25.042,DAL,CAR,L 8-16,19,29,65.52,170,0,0,81.1,6,32,5.86,5.86
34,2018,9/16/2018,2,2,25.049,DAL,NYG,W 20-13,16,25,64,160,1,0,95.4,0,0,6.4,7.2
35,2018,9/23/2018,3,3,25.056,DAL,SEA,L 13-24,19,34,55.88,168,1,2,54.5,5,31,4.94,2.88
36,2018,9/30/2018,4,4,25.063,DAL,DET,W 26-24,17,27,62.96,255,2,0,118.6,3,24,9.44,10.93
37,2018,10/7/2018,5,5,25.07,DAL,HOU,L 16-19,18,29,62.07,208,1,2,66.5,2,14,7.17,4.76
38,2018,10/14/2018,6,6,25.077,DAL,JAX,W 40-7,17,27,62.96,183,2,0,107.5,3,11,6.78,8.26
39,2018,10/21/2018,7,7,25.084,DAL,WAS,L 17-20,22,35,62.86,273,1,0,96.5,4,23,7.8,8.37
40,2018,11/5/2018,8,9,25.099,DAL,TEN,L 14-28,21,31,67.74,243,2,1,99.3,5,18,7.84,7.68
41,2018,11/11/2018,9,10,25.105,DAL,PHI,W 27-20,26,36,72.22,270,1,0,102.8,4,31,7.5,8.06
42,2018,11/18/2018,10,11,25.112,DAL,ATL,W 22-19,22,32,68.75,208,0,0,86.5,2,17,6.5,6.5
43,2018,11/22/2018,11,12,25.116,DAL,WAS,W 31-23,22,31,70.97,289,2,0,121.6,4,31,9.32,10.61
44,2018,11/29/2018,12,13,25.123,DAL,NOR,W 13-10,24,28,85.71,249,1,0,115.6,7,40,8.89,9.61
45,2018,12/9/2018,13,14,25.133,DAL,PHI,W 29-23,42,54,77.78,455,3,2,104.9,3,21,8.43,7.87
46,2018,12/16/2018,14,15,25.14,DAL,IND,L 0-23,24,39,61.54,206,0,1,64.7,3,26,5.28,4.13
47,2018,12/23/2018,15,16,25.147,DAL,TAM,W 27-20,20,25,80,161,1,0,106.8,1,9,6.44,7.24
48,2018,12/30/2018,16,17,25.154,DAL,NYG,W 36-35,27,44,61.36,387,4,0,120.2,4,19,8.8,10.61
49,2019,9/8/2019,1,1,26.041,DAL,NYG,W 35-17,25,32,78.13,405,4,0,158.3,0,0,12.66,15.16
50,2019,9/15/2019,2,2,26.048,DAL,WAS,W 31-21,26,30,86.67,269,3,1,123.5,1,8,8.97,9.47
51,2019,9/22/2019,3,3,26.055,DAL,MIA,W 31-6,19,32,59.38,246,2,1,91.4,1,5,7.69,7.53
52,2019,9/29/2019,4,4,26.062,DAL,NOR,L 10-12,22,33,66.67,223,0,1,73.2,1,11,6.76,5.39
53,2019,10/6/2019,5,5,26.069,DAL,GNB,L 24-34,27,44,61.36,463,2,3,83.8,3,22,10.52,8.36
54,2019,10/13/2019,6,6,26.076,DAL,NYJ,L 22-24,28,40,70,278,0,0,89.4,1,8,6.95,6.95
55,2019,10/20/2019,7,7,26.083,DAL,PHI,W 37-10,21,27,77.78,239,1,1,100.5,3,26,8.85,7.93
56,2019,11/4/2019,8,9,26.098,DAL,NYG,W 37-18,22,35,62.86,257,3,1,101.7,0,0,7.34,7.77
