Rk,Year,Date,Age,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Y/A,AY/A
1,2018,9/9/2018,22.111,6,15,40,74,0,0,56,3,4.93,4.93
2,2018,9/16/2018,22.118,18,33,54.55,245,1,2,63.3,5,7.42,5.3
3,2018,9/23/2018,22.125,15,22,68.18,196,1,0,111.2,3,8.91,9.82
4,2018,9/30/2018,22.132,16,33,48.48,151,0,2,36.3,7,4.58,1.85
5,2018,10/7/2018,22.139,10,19,52.63,82,0,1,42,1,4.32,1.95
6,2018,10/14/2018,22.146,10,17,58.82,84,0,0,71.7,2,4.94,4.94
7,2018,10/21/2018,,,,,,,,,,,
8,2018,10/29/2018,,,,,,,,,,,
9,2018,11/4/2018,,,,,,,,,,,
10,2018,11/11/2018,,,,,,,,,,,
11,2018,11/25/2018,22.188,8,19,42.11,160,1,0,89.8,0,8.42,9.47
12,2018,12/2/2018,22.195,18,33,54.55,231,2,2,71.7,2,7,5.48
13,2018,12/9/2018,22.202,18,36,50,206,0,2,44.4,3,5.72,3.22
14,2018,12/16/2018,22.209,13,26,50,204,1,0,89.3,1,7.85,8.62
15,2018,12/23/2018,22.216,20,41,48.78,217,1,2,52.6,0,5.29,3.59
16,2018,12/30/2018,22.223,17,26,65.38,224,3,1,114.9,1,8.62,9.19
17,2019,9/8/2019,23.11,24,37,64.86,254,1,2,71.2,1,6.86,4.97
18,2019,9/15/2019,23.117,19,30,63.33,253,1,0,101.1,3,8.43,9.1
19,2019,9/22/2019,23.124,23,36,63.89,243,1,1,81.1,1,6.75,6.06
20,2019,9/29/2019,23.131,13,28,46.43,153,0,3,24,4,5.46,0.64
21,2019,10/6/2019,23.138,23,32,71.88,219,2,1,98.3,4,6.84,6.69
22,2019,10/20/2019,23.152,16,26,61.54,202,2,0,111.4,2,7.77,9.31
23,2019,10/27/2019,23.159,16,34,47.06,169,2,0,81.6,4,4.97,6.15
24,2019,11/3/2019,23.166,14,20,70,160,1,0,110.4,2,8,9
25,2019,11/10/2019,23.173,22,41,53.66,266,0,0,73.8,1,6.49,6.49
26,2019,11/17/2019,23.18,21,33,63.64,256,3,0,117.7,0,7.76,9.58
27,2019,11/24/2019,23.187,15,25,60,185,2,1,92.9,1,7.4,7.2
28,2019,11/28/2019,23.191,19,24,79.17,231,1,0,120.7,4,9.63,10.46
29,2019,12/8/2019,23.201,17,39,43.59,146,1,0,62.6,6,3.74,4.26
30,2019,12/15/2019,23.208,13,25,52,139,1,1,65.2,1,5.56,4.56
31,2019,12/21/2019,23.214,13,26,50,208,2,0,102.7,4,8,9.54
32,2019,12/29/2019,23.222,3,5,60,5,0,0,64.6,0,1,1
33,2020,9/13/2020,24.115,33,46,71.74,312,2,0,104.6,3,6.78,7.65
34,2020,9/20/2020,24.122,24,35,68.57,415,4,0,146.7,1,11.86,14.14
35,2020,9/27/2020,24.129,24,33,72.73,311,4,1,128.9,4,9.42,10.48
36,2020,10/4/2020,24.136,24,34,70.59,288,2,0,115.8,1,8.47,9.65
37,2020,10/13/2020,24.145,26,41,63.41,263,2,2,77.6,1,6.41,5.2
38,2020,10/19/2020,24.151,14,27,51.85,122,2,1,73.4,0,4.52,4.33
39,2020,10/25/2020,24.157,30,43,69.77,307,0,0,90,2,7.14,7.14
40,2020,11/1/2020,24.164,11,18,61.11,154,0,1,65.5,1,8.56,6.06
41,2020,11/8/2020,24.171,31,38,81.58,415,3,0,138.5,7,10.92,12.5
42,2020,11/15/2020,24.178,32,49,65.31,284,2,2,77.3,0,5.8,4.78
43,2020,11/29/2020,24.192,18,24,75,157,1,1,88.4,2,6.54,5.5
